id,order_date,price
197,2017-07-08,10206.86
198,2017-07-09,8197.380000000001
199,2017-07-10,17326.93
200,2017-07-11,20213.79
201,2017-07-12,19180.22
202,2017-07-13,14531.0
203,2017-07-14,18745.15
204,2017-07-15,10930.56
205,2017-07-16,13421.6
206,2017-07-17,21554.98
207,2017-07-18,28238.2
208,2017-07-19,16545.34
209,2017-07-20,19174.08
210,2017-07-21,13448.85
211,2017-07-22,11456.81
212,2017-07-23,12117.61
213,2017-07-24,19662.62
214,2017-07-25,17482.53
215,2017-07-26,11265.23
216,2017-07-27,15693.93
217,2017-07-28,20043.16
218,2017-07-29,15964.27
219,2017-07-30,12944.87
220,2017-07-31,17272.88
221,2017-08-01,21745.04
222,2017-08-02,18147.0
223,2017-08-03,19125.510000000002
224,2017-08-04,18361.62
225,2017-08-05,11946.91
226,2017-08-06,14181.14
227,2017-08-07,23257.84
228,2017-08-08,18661.63
229,2017-08-09,20756.52
230,2017-08-10,19961.55
231,2017-08-11,20039.24
232,2017-08-12,13980.86
233,2017-08-13,12334.19
234,2017-08-14,18156.37
235,2017-08-15,23727.260000000002
236,2017-08-16,23950.42
237,2017-08-17,18357.91
238,2017-08-18,17132.01
239,2017-08-19,12910.13
240,2017-08-20,12873.78
241,2017-08-21,22219.35
242,2017-08-22,16627.12
243,2017-08-23,15873.61
244,2017-08-24,13361.11
245,2017-08-25,15163.32
246,2017-08-26,10141.69
247,2017-08-27,13367.88
248,2017-08-28,22244.52
249,2017-08-29,33756.48
250,2017-08-30,30938.16
251,2017-08-31,20671.51
252,2017-09-01,28473.13
253,2017-09-02,18128.66
254,2017-09-03,27795.41
255,2017-09-04,24937.98
256,2017-09-05,20981.55
257,2017-09-06,25624.61
258,2017-09-07,16893.5
259,2017-09-08,11883.47
260,2017-09-09,15082.53
261,2017-09-10,17810.27
262,2017-09-11,23376.78
263,2017-09-12,27136.010000000002
264,2017-09-13,27593.28
265,2017-09-14,22557.76
266,2017-09-15,18373.26
267,2017-09-16,21147.37
268,2017-09-17,19979.42
269,2017-09-18,28487.81
270,2017-09-19,20057.95
271,2017-09-20,22102.55
272,2017-09-21,19015.53
273,2017-09-22,16255.12
274,2017-09-23,10513.5
275,2017-09-24,13049.75
276,2017-09-25,17987.1
277,2017-09-26,21681.9
278,2017-09-27,20646.920000000002
279,2017-09-28,23264.52
280,2017-09-29,30878.56
281,2017-09-30,12685.49
282,2017-10-01,18821.27
283,2017-10-02,21764.65
284,2017-10-03,26118.57
285,2017-10-04,21197.7
286,2017-10-05,25517.52
287,2017-10-06,17084.670000000002
288,2017-10-07,15376.02
289,2017-10-08,16539.010000000002
290,2017-10-09,30337.79
291,2017-10-10,28151.13
292,2017-10-11,22669.37
293,2017-10-12,18754.23
294,2017-10-13,22881.19
295,2017-10-14,13528.82
296,2017-10-15,18751.85
297,2017-10-16,30580.16
298,2017-10-17,29675.77
299,2017-10-18,27257.79
300,2017-10-19,23223.71
301,2017-10-20,18626.2
302,2017-10-21,14982.45
303,2017-10-22,19786.81
304,2017-10-23,22278.1
305,2017-10-24,22071.27
306,2017-10-25,17507.06
307,2017-10-26,22573.15
308,2017-10-27,20377.58
309,2017-10-28,16483.61
