,customer_state,avg_delivery_time_days
0,AC,20.6375
1,AL,24.04030226700252
2,AM,25.986206896551725
3,AP,26.73134328358209
4,BA,18.86640049140049
5,CE,20.817826426896012
6,DF,12.509134615384616
7,ES,15.331829573934836
8,GO,15.15074092999489
9,MA,21.11715481171548
10,MG,11.543813298106562
11,MS,15.191155492154065
12,MT,17.59367945823928
13,PA,23.316067653276956
14,PB,19.95357833655706
15,PE,17.965473948524796
16,PI,18.993697478991596
17,PR,11.52671135486492
18,RJ,14.84918643244556
19,RN,18.824894514767934
20,RO,18.91358024691358
21,RR,28.975609756097562
22,RS,14.819236526946108
23,SC,14.479560191711306
24,SE,21.029850746268657
25,SP,8.298061489072724
26,TO,17.226277372262775
